origin,    yr,trip_code,  sample_no,sub_sample_no,area ,species,    fish_no,prep_no   ,block_no,agreed_result1,agreed_result2,method,agreed_age,agreed_error1,agreed_error2,proj_code   ,comments,,,,,
KAH,2020,kah2001,4,1,BPLE,SNA,5,32,,5,W,22,6,,,INT201803,,,,,,
KAH,2020,kah2001,4,1,BPLE,SNA,6,33,,16,W,22,17,,,INT201803,,,,,,
KAH,2020,kah2001,4,1,BPLE,SNA,8,34,,20,W,22,21,,,INT201803,,,,,,
KAH,2020,kah2001,4,1,BPLE,SNA,9,35,,4,W,22,5,,,INT201803,,,,,,
KAH,2020,kah2001,4,1,BPLE,SNA,11,36,,4,W,22,5,,,INT201803,,,,,,
KAH,2020,kah2001,4,1,BPLE,SNA,13,37,,8,W,22,9,,,INT201803,,,,,,
KAH,2020,kah2001,4,1,BPLE,SNA,14,38,,7,W,22,8,,,INT201803,,,,,,
KAH,2020,kah2001,4,1,BPLE,SNA,16,39,,12,W,22,13,,,INT201803,,,,,,
KAH,2020,kah2001,4,1,BPLE,SNA,17,40,,4,W,22,5,,,INT201803,,,,,,
KAH,2020,kah2001,4,1,BPLE,SNA,18,41,,5,W,22,6,,,INT201803,,,,,,
KAH,2020,kah2001,4,1,BPLE,SNA,20,42,,0,W,22,1,,,INT201803,,,,,,
KAH,2020,kah2001,5,1,BPLE,SNA,1,43,,14,W,22,15,,,INT201803,,,,,,
KAH,2020,kah2001,5,1,BPLE,SNA,2,44,,6,W,22,7,,,INT201803,,,,,,
KAH,2020,kah2001,5,1,BPLE,SNA,4,45,,16,W,22,17,,,INT201803,,,,,,
KAH,2020,kah2001,5,1,BPLE,SNA,5,46,,10,W,22,11,,,INT201803,,,,,,
KAH,2020,kah2001,5,1,BPLE,SNA,6,47,,7,W,22,8,,,INT201803,,,,,,
KAH,2020,kah2001,5,1,BPLE,SNA,7,48,,8,W,22,9,,,INT201803,,,,,,
KAH,2020,kah2001,5,1,BPLE,SNA,8,49,,13,W,22,14,,,INT201803,,,,,,
KAH,2020,kah2001,5,1,BPLE,SNA,9,50,,10,W,22,11,,,INT201803,,,,,,
KAH,2020,kah2001,5,1,BPLE,SNA,10,51,,6,W,22,7,,,INT201803,,,,,,
KAH,2020,kah2001,5,1,BPLE,SNA,12,52,,19,W,22,20,,,INT201803,,,,,,
KAH,2020,kah2001,5,1,BPLE,SNA,13,53,,17,W,22,18,,,INT201803,,,,,,
KAH,2020,kah2001,5,1,BPLE,SNA,14,54,,6,W,22,7,,,INT201803,,,,,,
KAH,2020,kah2001,5,1,BPLE,SNA,15,55,,10,W,22,11,,,INT201803,,,,,,
KAH,2020,kah2001,5,1,BPLE,SNA,16,56,,11,W,22,12,,,INT201803,,,,,,
KAH,2020,kah2001,5,1,BPLE,SNA,17,57,,7,W,22,8,,,INT201803,,,,,,
KAH,2020,kah2001,5,1,BPLE,SNA,20,58,,11,W,22,12,,,INT201803,,,,,,
KAH,2020,kah2001,6,1,BPLE,SNA,1,59,,9,W,22,10,,,INT201803,,,,,,
KAH,2020,kah2001,6,1,BPLE,SNA,2,60,,6,W,22,7,,,INT201803,,,,,,
KAH,2020,kah2001,7,1,BPLE,SNA,4,61,,9,W,22,10,,,INT201803,,,,,,
KAH,2020,kah2001,7,1,BPLE,SNA,7,62,,11,W,22,12,,,INT201803,,,,,,
KAH,2020,kah2001,7,1,BPLE,SNA,8,63,,9,W,22,10,,,INT201803,,,,,,
KAH,2020,kah2001,7,1,BPLE,SNA,10,64,,5,W,22,6,,,INT201803,,,,,,
KAH,2020,kah2001,7,1,BPLE,SNA,12,65,,4,W,22,5,,,INT201803,,,,,,
KAH,2020,kah2001,7,1,BPLE,SNA,14,66,,6,W,22,7,,,INT201803,,,,,,
KAH,2020,kah2001,7,1,BPLE,SNA,19,67,,4,W,22,5,,,INT201803,,,,,,
KAH,2020,kah2001,7,1,BPLE,SNA,20,68,,8,W,22,9,,,INT201803,,,,,,
KAH,2020,kah2001,8,1,BPLE,SNA,1,69,,1,W,22,2,,,INT201803,,,,,,
KAH,2020,kah2001,8,1,BPLE,SNA,2,70,,1,W,22,2,,,INT201803,,,,,,
KAH,2020,kah2001,8,1,BPLE,SNA,3,71,,1,W,22,2,,,INT201803,,,,,,
KAH,2020,kah2001,8,1,BPLE,SNA,4,72,,0,W,22,1,,,INT201803,,,,,,
KAH,2020,kah2001,8,1,BPLE,SNA,5,73,,0,W,22,1,,,INT201803,,,,,,
KAH,2020,kah2001,8,1,BPLE,SNA,6,74,,5,W,22,6,,,INT201803,,,,,,
KAH,2020,kah2001,8,1,BPLE,SNA,8,75,,2,W,22,3,,,INT201803,,,,,,
KAH,2020,kah2001,8,1,BPLE,SNA,10,76,,2,W,22,3,,,INT201803,,,,,,
KAH,2020,kah2001,8,1,BPLE,SNA,12,77,,2,W,22,3,,,INT201803,,,,,,
KAH,2020,kah2001,8,1,BPLE,SNA,13,78,,1,W,22,2,,,INT201803,,,,,,
KAH,2020,kah2001,8,1,BPLE,SNA,16,79,,4,W,22,5,,,INT201803,,,,,,
KAH,2020,kah2001,8,1,BPLE,SNA,17,80,,4,W,22,5,,,INT201803,,,,,,
KAH,2020,kah2001,8,1,BPLE,SNA,23,81,,4,W,22,5,,,INT201803,,,,,,
KAH,2020,kah2001,9,1,BPLE,SNA,1,82,,6,W,22,7,,,INT201803,,,,,,
KAH,2020,kah2001,9,1,BPLE,SNA,2,83,,6,W,22,7,,,INT201803,,,,,,
KAH,2020,kah2001,9,1,BPLE,SNA,4,84,,7,W,22,8,,,INT201803,,,,,,
KAH,2020,kah2001,9,1,BPLE,SNA,5,85,,6,W,22,7,,,INT201803,,,,,,
KAH,2020,kah2001,9,1,BPLE,SNA,6,86,,7,W,22,8,,,INT201803,,,,,,
KAH,2020,kah2001,9,1,BPLE,SNA,7,87,,6,W,22,7,,,INT201803,,,,,,
KAH,2020,kah2001,9,1,BPLE,SNA,11,88,,12,W,22,13,,,INT201803,,,,,,
KAH,2020,kah2001,9,1,BPLE,SNA,15,89,,19,W,22,20,,,INT201803,,,,,,
KAH,2020,kah2001,9,1,BPLE,SNA,16,90,,20,W,22,21,,,INT201803,,,,,,
KAH,2020,kah2001,10,1,BPLE,SNA,1,91,,7,W,22,8,,,INT201803,,,,,,
KAH,2020,kah2001,10,1,BPLE,SNA,3,92,,5,W,22,6,,,INT201803,,,,,,
KAH,2020,kah2001,10,1,BPLE,SNA,4,93,,4,W,22,5,,,INT201803,,,,,,
KAH,2020,kah2001,10,1,BPLE,SNA,5,94,,4,W,22,5,,,INT201803,,,,,,
KAH,2020,kah2001,10,1,BPLE,SNA,6,95,,16,W,22,17,,,INT201803,,,,,,
KAH,2020,kah2001,10,1,BPLE,SNA,8,96,,4,W,22,5,,,INT201803,,,,,,
KAH,2020,kah2001,10,1,BPLE,SNA,9,97,,0,W,22,1,,,INT201803,,,,,,
KAH,2020,kah2001,10,1,BPLE,SNA,10,98,,4,W,22,5,,,INT201803,,,,,,
KAH,2020,kah2001,10,1,BPLE,SNA,12,99,,4,W,22,5,,,INT201803,,,,,,
KAH,2020,kah2001,10,1,BPLE,SNA,13,100,,0,W,22,1,,,INT201803,,,,,,
KAH,2020,kah2001,10,1,BPLE,SNA,15,101,,4,W,22,5,,,INT201803,,,,,,
KAH,2020,kah2001,10,1,BPLE,SNA,16,102,,4,W,22,5,,,INT201803,,,,,,
KAH,2020,kah2001,10,1,BPLE,SNA,17,103,,4,W,22,5,,,INT201803,,,,,,
KAH,2020,kah2001,10,1,BPLE,SNA,19,104,,5,W,22,6,,,INT201803,,,,,,
KAH,2020,kah2001,10,1,BPLE,SNA,21,105,,0,W,22,1,,,INT201803,,,,,,
KAH,2020,kah2001,11,1,BPLE,SNA,3,106,,7,W,22,8,,,INT201803,,,,,,
KAH,2020,kah2001,11,1,BPLE,SNA,5,107,,9,W,22,10,,,INT201803,,,,,,
KAH,2020,kah2001,11,1,BPLE,SNA,6,108,,2,W,22,3,,,INT201803,,,,,,
KAH,2020,kah2001,11,1,BPLE,SNA,7,109,,4,W,22,5,,,INT201803,,,,,,
KAH,2020,kah2001,11,1,BPLE,SNA,8,110,,2,W,22,3,,,INT201803,,,,,,
KAH,2020,kah2001,11,1,BPLE,SNA,10,111,,7,W,22,8,,,INT201803,,,,,,
KAH,2020,kah2001,11,1,BPLE,SNA,11,112,,15,W,22,16,,,INT201803,,,,,,
KAH,2020,kah2001,11,1,BPLE,SNA,12,113,,11,W,22,12,,,INT201803,,,,,,
KAH,2020,kah2001,11,1,BPLE,SNA,13,114,,5,W,22,6,,,INT201803,,,,,,
KAH,2020,kah2001,11,1,BPLE,SNA,14,115,,4,W,22,5,,,INT201803,,,,,,
KAH,2020,kah2001,11,1,BPLE,SNA,15,116,,2,W,22,3,,,INT201803,,,,,,
KAH,2020,kah2001,11,1,BPLE,SNA,19,117,,0,W,22,1,,,INT201803,,,,,,
KAH,2020,kah2001,11,1,BPLE,SNA,20,118,,6,W,22,7,,,INT201803,,,,,,
KAH,2020,kah2001,12,1,BPLE,SNA,1,119,,6,W,22,7,,,INT201803,,,,,,
KAH,2020,kah2001,12,1,BPLE,SNA,2,120,,4,W,22,5,,,INT201803,,,,,,
KAH,2020,kah2001,12,1,BPLE,SNA,3,121,,18,W,22,19,,,INT201803,,,,,,
KAH,2020,kah2001,12,1,BPLE,SNA,4,122,,6,W,22,7,,,INT201803,,,,,,
KAH,2020,kah2001,12,1,BPLE,SNA,5,123,,30,W,22,31,,,INT201803,,,,,,
KAH,2020,kah2001,12,1,BPLE,SNA,6,124,,6,W,22,7,,,INT201803,,,,,,
KAH,2020,kah2001,12,1,BPLE,SNA,8,125,,20,W,22,21,,,INT201803,,,,,,
KAH,2020,kah2001,12,1,BPLE,SNA,9,126,,20,W,22,21,,,INT201803,,,,,,
KAH,2020,kah2001,12,1,BPLE,SNA,10,127,,7,W,22,8,,,INT201803,,,,,,
KAH,2020,kah2001,12,1,BPLE,SNA,12,128,,4,W,22,5,,,INT201803,,,,,,
KAH,2020,kah2001,12,1,BPLE,SNA,13,129,,4,W,22,5,,,INT201803,,,,,,
KAH,2020,kah2001,12,1,BPLE,SNA,15,130,,9,W,22,10,,,INT201803,,,,,,
KAH,2020,kah2001,12,1,BPLE,SNA,17,131,,4,W,22,5,,,INT201803,,,,,,
KAH,2020,kah2001,12,1,BPLE,SNA,19,132,,11,W,22,12,,,INT201803,,,,,,
KAH,2020,kah2001,12,1,BPLE,SNA,20,133,,4,W,22,5,,,INT201803,,,,,,
KAH,2020,kah2001,13,1,BPLE,SNA,2,134,,7,W,22,8,,,INT201803,,,,,,
KAH,2020,kah2001,13,1,BPLE,SNA,4,135,,2,W,22,3,,,INT201803,,,,,,
KAH,2020,kah2001,13,1,BPLE,SNA,7,136,,2,W,22,3,,,INT201803,,,,,,
KAH,2020,kah2001,13,1,BPLE,SNA,8,137,,11,W,22,12,,,INT201803,,,,,,
KAH,2020,kah2001,13,1,BPLE,SNA,9,138,,14,W,22,15,,,INT201803,,,,,,
KAH,2020,kah2001,13,1,BPLE,SNA,12,139,,3,W,22,4,,,INT201803,,,,,,
KAH,2020,kah2001,13,1,BPLE,SNA,15,140,,5,W,22,6,,,INT201803,,,,,,
KAH,2020,kah2001,13,1,BPLE,SNA,17,141,,4,W,22,5,,,INT201803,,,,,,
KAH,2020,kah2001,13,1,BPLE,SNA,19,142,,1,W,22,2,,,INT201803,,,,,,
KAH,2020,kah2001,13,1,BPLE,SNA,20,143,,0,W,22,1,,,INT201803,,,,,,
KAH,2020,kah2001,13,1,BPLE,SNA,21,144,,1,W,22,2,,,INT201803,,,,,,
KAH,2020,kah2001,13,1,BPLE,SNA,22,145,,1,W,22,2,,,INT201803,,,,,,
KAH,2020,kah2001,13,1,BPLE,SNA,23,146,,1,W,22,2,,,INT201803,,,,,,
KAH,2020,kah2001,13,1,BPLE,SNA,24,147,,1,W,22,2,,,INT201803,,,,,,
KAH,2020,kah2001,13,1,BPLE,SNA,25,148,,1,W,22,2,,,INT201803,,,,,,
KAH,2020,kah2001,13,1,BPLE,SNA,26,149,,0,W,22,1,,,INT201803,,,,,,
KAH,2020,kah2001,13,1,BPLE,SNA,27,150,,0,W,22,1,,,INT201803,,,,,,
KAH,2020,kah2001,13,1,BPLE,SNA,28,151,,0,W,22,1,,,INT201803,,,,,,
KAH,2020,kah2001,14,1,BPLE,SNA,2,152,,13,W,22,14,,,INT201803,,,,,,
KAH,2020,kah2001,14,1,BPLE,SNA,3,153,,13,W,22,14,,,INT201803,,,,,,
KAH,2020,kah2001,14,1,BPLE,SNA,6,154,,4,W,22,5,,,INT201803,,,,,,
KAH,2020,kah2001,14,1,BPLE,SNA,7,155,,6,W,22,7,,,INT201803,,,,,,
KAH,2020,kah2001,14,1,BPLE,SNA,8,156,,4,W,22,5,,,INT201803,,,,,,
KAH,2020,kah2001,14,1,BPLE,SNA,9,157,,10,W,22,11,,,INT201803,,,,,,
KAH,2020,kah2001,14,1,BPLE,SNA,10,158,,6,W,22,7,,,INT201803,,,,,,
KAH,2020,kah2001,14,1,BPLE,SNA,11,159,,11,W,22,12,,,INT201803,,,,,,
KAH,2020,kah2001,14,1,BPLE,SNA,12,160,,11,W,22,12,,,INT201803,,,,,,
KAH,2020,kah2001,14,1,BPLE,SNA,18,161,,1,W,22,2,,,INT201803,,,,,,
KAH,2020,kah2001,14,1,BPLE,SNA,19,162,,1,W,22,2,,,INT201803,,,,,,
KAH,2020,kah2001,14,1,BPLE,SNA,21,163,,0,W,22,1,,,INT201803,,,,,,
KAH,2020,kah2001,14,1,BPLE,SNA,22,164,,0,W,22,1,,,INT201803,,,,,,
KAH,2020,kah2001,14,1,BPLE,SNA,23,165,,0,W,22,1,,,INT201803,,,,,,
KAH,2020,kah2001,14,1,BPLE,SNA,24,166,,0,W,22,1,,,INT201803,,,,,,
KAH,2020,kah2001,15,1,BPLE,SNA,1,167,,13,W,22,14,,,INT201803,,,,,,
KAH,2020,kah2001,15,1,BPLE,SNA,2,168,,4,W,22,5,,,INT201803,,,,,,
KAH,2020,kah2001,15,1,BPLE,SNA,4,169,,16,W,22,17,,,INT201803,,,,,,
KAH,2020,kah2001,15,1,BPLE,SNA,5,170,,4,W,22,5,,,INT201803,,,,,,
KAH,2020,kah2001,15,1,BPLE,SNA,6,171,,1,W,22,2,,,INT201803,,,,,,
KAH,2020,kah2001,15,1,BPLE,SNA,9,172,,14,W,22,15,,,INT201803,,,,,,
KAH,2020,kah2001,15,1,BPLE,SNA,12,173,,2,W,22,3,,,INT201803,,,,,,
KAH,2020,kah2001,15,1,BPLE,SNA,13,174,,1,W,22,2,,,INT201803,,,,,,
KAH,2020,kah2001,15,1,BPLE,SNA,14,175,,2,W,22,3,,,INT201803,,,,,,
KAH,2020,kah2001,15,1,BPLE,SNA,18,176,,4,W,22,5,,,INT201803,,,,,,
KAH,2020,kah2001,15,1,BPLE,SNA,20,177,,2,W,22,3,,,INT201803,,,,,,
KAH,2020,kah2001,15,1,BPLE,SNA,21,178,,1,W,22,2,,,INT201803,,,,,,
KAH,2020,kah2001,15,1,BPLE,SNA,22,179,,1,W,22,2,,,INT201803,,,,,,
KAH,2020,kah2001,15,1,BPLE,SNA,23,180,,0,W,22,1,,,INT201803,,,,,,
KAH,2020,kah2001,15,1,BPLE,SNA,24,181,,1,W,22,2,,,INT201803,,,,,,
KAH,2020,kah2001,15,1,BPLE,SNA,25,182,,0,W,22,1,,,INT201803,,,,,,
KAH,2020,kah2001,15,1,BPLE,SNA,26,183,,0,W,22,1,,,INT201803,,,,,,
KAH,2020,kah2001,15,1,BPLE,SNA,27,184,,1,W,22,2,,,INT201803,,,,,,
KAH,2020,kah2001,15,1,BPLE,SNA,28,185,,1,W,22,2,,,INT201803,,,,,,
KAH,2020,kah2001,15,1,BPLE,SNA,29,186,,0,W,22,1,,,INT201803,,,,,,
KAH,2020,kah2001,16,1,BPLE,SNA,2,187,,12,W,22,13,,,INT201803,,,,,,
KAH,2020,kah2001,16,1,BPLE,SNA,5,188,,11,W,22,12,,,INT201803,,,,,,
KAH,2020,kah2001,16,1,BPLE,SNA,6,189,,7,W,22,8,,,INT201803,,,,,,
KAH,2020,kah2001,16,1,BPLE,SNA,7,190,,4,W,22,5,,,INT201803,,,,,,
KAH,2020,kah2001,16,1,BPLE,SNA,8,191,,9,W,22,10,,,INT201803,,,,,,
KAH,2020,kah2001,16,1,BPLE,SNA,10,192,,18,W,22,19,,,INT201803,,,,,,
